UID          PID    PPID  C STIME TTY          TIME CMD
root         834       2  0 08:13 ?        00:00:00 [card0-crtc3]
rtkit        951       1  0 08:13 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1063       1  0 08:13 ?        00:00:00 /usr/libexec/upowerd
root        1100       2  0 08:13 ?        00:00:00 [kworker/u68:1-ttm]
root        1101       2  0 08:13 ?        00:00:00 [kworker/u68:2-ttm]
root        1147       1  2 08:13 ?        00:00:06 /usr/libexec/packagekitd
colord      1246       1  0 08:13 ?        00:00:00 /usr/libexec/colord
root        1355       2  0 08:13 ?        00:00:00 [kworker/8:3-cgroup_destroy]
root        1388       1  0 08:13 ?        00:00:00 /usr/sbin/cups-browsed
kernoops    1406       1  0 08:13 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops    1408       1  0 08:13 ?        00:00:00 /usr/sbin/kerneloops
root        1415     772  0 08:13 ?        00:00:00 gdm-session-worker [pam/gdm-password]
aluno       1423       1  0 08:13 ?        00:00:00 /lib/systemd/systemd --user
aluno       1424    1423  0 08:13 ?        00:00:00 (sd-pam)
aluno       1430    1423  0 08:13 ?        00:00:00 /usr/bin/pipewire
aluno       1431    1423  0 08:13 ?        00:00:00 /usr/bin/pipewire-media-session
aluno       1432    1423  0 08:13 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
aluno       1442       1  0 08:13 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
aluno       1453    1423  0 08:13 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
aluno       1459    1423  0 08:13 ?        00:00:00 /usr/libexec/gvfsd
aluno       1460    1423  0 08:13 ?        00:00:00 /usr/libexec/xdg-document-portal
aluno       1467    1423  0 08:13 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1001/gvfs -f
aluno       1468    1423  0 08:13 ?        00:00:00 /usr/libexec/xdg-permission-store
root        1481    1460  0 08:13 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1001/doc
aluno       1498    1423  0 08:13 ?        00:00:00 /usr/libexec/tracker-miner-fs-3
root        1507       2  0 08:13 ?        00:00:00 [krfcommd]
aluno       1508    1423  0 08:13 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
aluno       1513    1423  0 08:13 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
aluno       1521    1423  0 08:13 ?        00:00:00 /usr/libexec/goa-daemon
aluno       1534    1423  0 08:13 ?        00:00:00 /usr/libexec/goa-identity-service
aluno       1540    1423  0 08:13 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
aluno       1554    1423  0 08:13 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
aluno       1559    1423  0 08:13 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
aluno       1568    1415  0 08:13 tty2     00:00:00 /usr/libexec/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
aluno       1571    1568  0 08:13 tty2     00:00:01 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1001/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
aluno       1595    1568  0 08:13 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
aluno       1672    1423  0 08:13 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
aluno       1678    1672  0 08:13 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1001/at-spi/bus_1
root        1686       2  0 08:13 ?        00:00:00 [kworker/u69:2-ttm]
aluno       1692    1423  0 08:13 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
aluno       1704    1423  0 08:13 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
aluno       1727    1423  1 08:13 ?        00:00:04 /usr/bin/gnome-shell
aluno       1754    1423  0 08:13 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
aluno       1761    1423  0 08:13 ?        00:00:00 /usr/libexec/evolution-source-registry
aluno       1770    1423  0 08:13 ?        00:00:00 /usr/libexec/evolution-calendar-factory
aluno       1778    1423  0 08:13 ?        00:00:00 /usr/libexec/dconf-service
aluno       1782    1423  0 08:13 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
aluno       1795    1459  0 08:13 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
aluno       1809    1423  0 08:13 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
aluno       1811    1423  0 08:13 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
aluno       1828    1423  0 08:13 ?        00:00:00 /usr/libexec/xdg-desktop-portal
aluno       1830    1423  0 08:13 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
aluno       1831    1423  0 08:13 ?        00:00:00 /usr/libexec/gsd-a11y-settings
aluno       1833    1830  0 08:13 ?        00:00:00 /usr/bin/ibus-daemon --panel disable --xim
aluno       1835    1423  0 08:13 ?        00:00:00 /usr/libexec/gsd-color
aluno       1838    1423  0 08:13 ?        00:00:00 /usr/libexec/gsd-datetime
aluno       1842    1423  0 08:13 ?        00:00:00 /usr/libexec/gsd-housekeeping
aluno       1845    1423  0 08:13 ?        00:00:00 /usr/libexec/gsd-keyboard
aluno       1846    1423  0 08:13 ?        00:00:00 /usr/libexec/gsd-media-keys
aluno       1855    1423  0 08:13 ?        00:00:00 /usr/libexec/gsd-power
aluno       1856    1423  0 08:13 ?        00:00:00 /usr/libexec/gsd-print-notifications
aluno       1857    1423  0 08:13 ?        00:00:00 /usr/libexec/gsd-rfkill
aluno       1859    1423  0 08:13 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
aluno       1861    1423  0 08:13 ?        00:00:00 /usr/libexec/gsd-sharing
aluno       1863    1423  0 08:13 ?        00:00:00 /usr/libexec/gsd-smartcard
aluno       1867    1423  0 08:13 ?        00:00:00 /usr/libexec/gsd-sound
aluno       1877    1423  0 08:13 ?        00:00:00 /usr/libexec/gsd-wacom
aluno       1878    1704  0 08:13 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
aluno       1879    1423  0 08:13 ?        00:00:00 /usr/libexec/gsd-xsettings
aluno       1886    1423  0 08:13 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
aluno       1896    1833  0 08:13 ?        00:00:00 /usr/libexec/ibus-memconf
aluno       1900    1833  0 08:13 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
aluno       1906    1423  0 08:13 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
aluno       1917    1423  0 08:13 ?        00:00:00 /usr/libexec/ibus-portal
aluno       1923    1704  0 08:13 ?        00:00:00 socat -T 60 openssl-connect:10.100.71.2:789,cafile=/etc/epoptes/server.crt,openssl-no-sni,openssl-commonname="",interval=60,forever EXEC:bash -c \"exec -a epoptes-client sh\"
aluno       1931    1704  0 08:13 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
aluno       1974    1423  1 08:13 ?        00:00:03 /snap/snap-store/1216/usr/bin/snap-store --gapplication-service
aluno       1991    1423  0 08:13 ?        00:00:00 /usr/libexec/gsd-printer
aluno       2010    1923  0 08:13 ?        00:00:00 epoptes-client
aluno       2093    1423  0 08:13 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
aluno       2116    1833  0 08:13 ?        00:00:00 /usr/libexec/ibus-engine-simple
aluno       2157    1423  0 08:13 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
aluno       2202    1423  0 08:13 ?        00:00:00 /snap/snapd-desktop-integration/247/usr/bin/snapd-desktop-integration
aluno       2275    2202  0 08:13 ?        00:00:00 /snap/snapd-desktop-integration/247/usr/bin/snapd-desktop-integration
root        2290       1  0 08:13 ?        00:00:01 /usr/libexec/fwupd/fwupd
aluno       2322    1727  0 08:13 ?        00:00:00 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:1920:1080:1:27:0:70:0:0
root        2323       2  0 08:13 ?        00:00:00 [kworker/u68:3-ttm]
root        2336       2  0 08:13 ?        00:00:00 [kworker/u68:4]
aluno       2348    1423  0 08:13 ?        00:00:00 /usr/libexec/gvfsd-metadata
aluno       3020    1423  0 08:13 ?        00:00:00 /usr/libexec/gnome-terminal-server
aluno       3042    3020  0 08:13 pts/0    00:00:00 bash
root        3475       2  0 08:13 ?        00:00:00 [kworker/5:3]
aluno       3731    1704  0 08:14 ?        00:00:00 update-notifier
aluno       3872    3042  0 08:18 pts/0    00:00:00 ps -ef
